team_picks,opponent_picks,picked_hero,win,match_id,start_time,patch_id
"[75, 77, 36, 21, 35]","[112, 10, 22, 31, 89]",21,1,3352171545,1501700377,25
"[26, 71, 36, 42, 4]","[68, 96, 86, 1, 76]",26,1,3352993760,1501751652,25
"[14, 2, 114, 8, 25]","[5, 71, 96, 76, 93]",114,0,3353124908,1501756593,25
"[22, 27, 36, 35, 75]","[5, 90, 88, 1, 25]",27,0,3353222129,1501760042,25
"[36, 71, 5, 95, 40]","[20, 104, 63, 19, 16]",36,0,3357873630,1501951605,25
"[57, 27, 108, 70, 35]","[1, 50, 96, 104, 21]",57,0,3357995009,1501956242,25
"[57, 2, 42, 76, 35]","[14, 23, 67, 75, 25]",35,0,3361470381,1502106651,25
"[61, 67, 71, 76, 51]","[23, 22, 35, 69, 47]",61,1,3363060856,1502184534,25
"[104, 1, 39, 75, 2]","[36, 64, 12, 48, 70]",104,1,3363601867,1502201711,25
"[73, 54, 18, 69, 110]","[63, 7, 43, 83, 11]",73,0,3363703026,1502204660,25
"[97, 100, 104, 18, 63]","[93, 84, 39, 35, 11]",63,0,3363992742,1502214971,25
"[2, 40, 72, 63, 99]","[86, 104, 5, 17, 1]",63,0,3365051279,1502274082,25
"[40, 42, 78, 89, 28]","[18, 104, 15, 38, 62]",28,0,3365211629,1502279474,25
"[40, 62, 44, 4, 8]","[46, 95, 10, 91, 18]",44,0,3365374821,1502284252,25
"[12, 9, 44, 70, 94]","[43, 14, 11, 49, 50]",12,0,3365444570,1502286169,25
"[109, 54, 55, 41, 35]","[23, 17, 47, 6, 14]",35,1,3371189676,1502530358,25
"[46, 22, 8, 99, 23]","[10, 54, 1, 75, 21]",23,0,3371395437,1502536524,25
"[11, 28, 57, 75, 70]","[23, 4, 49, 56, 73]",70,1,3372429740,1502566466,25
"[25, 85, 80, 60, 8]","[23, 4, 7, 17, 41]",60,1,3437135667,1505094649,25
"[18, 39, 75, 71, 12]","[48, 28, 89, 44, 47]",75,1,3437162220,1505096423,25
"[93, 74, 42, 48, 52]","[39, 83, 35, 36, 44]",48,0,3437298179,1505105097,25
"[4, 3, 13, 75, 49]","[47, 99, 26, 53, 44]",75,1,3437339366,1505107479,25
"[84, 44, 34, 63, 56]","[14, 101, 45, 18, 73]",63,1,3437400824,1505110848,25
"[26, 63, 8, 41, 64]","[82, 57, 84, 59, 20]",63,1,3437452352,1505113489,25
